	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
1609	VERB+PRON	zastanawia	zastanawiać	23	się	się	24	zastanawia się	zastanawiać się	Kto wie , czy pamięć o tej tragedii nie była powodem , że matka Andrzeja nie zabrała chłopca do swojej nowej rodziny - zastanawia się pedagog .
1612	VERB+NOUN	ma	mieć	10	miejsce	miejsce	11	ma miejsce	mieć miejsce	Skandal ze szpiegostwem przemysłowym wybuchł , gdy odkryto , że ma miejsce przeciekanie tajemnic Ericssona do obcych służb wywiadowczych .
1616	VERB+PRON	zdecydował	zdecydować	1	się	się	2	zdecydował się	zdecydować się	Chopin zdecydował się opuścić Warszawę w same Zaduszki , to jest 2 listopada 1830 roku .
1633	VERB+PRON	chwali	chwalić	1	się	się	2	chwali się	chwalić się	Gościom chwali się to , że dźwigając coraz większy bagaż bramek , chcieli walczyć .
1634	VERB+PRON	zdecydowała	zdecydować	3	się	się	4	zdecydowała się	zdecydować się	Na desperacki krok zdecydowała się 19-letnia mieszkanka Radymna .
1640	ADP+NOUN	W	w	0	ogniu	ogień	1	W ogniu	w ogień	W ogniu stanęły obiekty , w których mieściła się hurtownia obuwia .
1641	VERB+PRON	mieściła	mieścić	7	się	się	8	mieściła się	mieścić się	W ogniu stanęły obiekty , w których mieściła się hurtownia obuwia .
1646	VERB+PRON	mieści	mieścić	3	się	się	4	mieści się	mieścić się	W północnym skrzydle mieści się sala widowiskowa na 200 osób , m.in . z szatnią i garderobą .
1650	ADJ+PRON	mieszczący	mieścić	8	się	się	9	mieszczący się	mieścić się	Miejski Ośrodek Sportu i Rekreacji w Olecku , mieszczący się przy ul . Park 1 , tel . ( 0116 ) 20 48 zaprasza rodziców do zapisywania dzieci do szkółki tenisowej , a wszystkich pozostałych informuje , że z kortów można korzystać codziennie od 9.00 rano do 20.00 .
1652	VERB+PRON	skarży	skarżyć	3	się	się	4	skarży się	skarżyć się	Boom Box nie skarży się na warunki , chociaż zespół nie ma samochodu i na koncerty dojeżdża pociągami , a potem z dworca autobusem .
1665	ADP+NOUN	Przed	przed	0	sądem	sąd	1	Przed sądem	przed sąd	Przed sądem postawiono około 20 osób i byli to sami wojskowi .
1698	VERB+PRON	dopuszczał	dopuszczać	9	się	się	10	dopuszczał się	dopuszczać się	Fakt , że uznawany za symbol niemieckiej solidności polityk dopuszczał się bezprawia , wywołał szok .
1709	VERB+PRON	składał	składać	15	się	się	16	składał się	składać się	Najwyższą instancją w tej strukturze jest Naczelny Sąd Administracyjny , który w 1996 r . składał się z 37 sędziów . Dwie trzecie z nich musi posiadać wykształcenie prawnicze . Orzeka w składach pięcioosobowych lub większych .
1711	NOUN+PRON	ukazaniu	ukazać	9	się	się	10	ukazaniu się	ukazać się	Tajemnicami ukrytymi w najdziwniejszych szyfrach zainteresowano się powszechnie po ukazaniu się powieści „ Kod Leonarda da Vinci ” Dana Browna .
1717	ADP+NOUN	w	w	14	czasie	czas	15	w czasie	w czas	- Planując przetarg , nie wiedzieliśmy wiedzieli śmy , że jego koniec zbiegnie się w czasie z wyborami - broni siebie i ministra Marek Grabarek , prezes PLL LOT .
1726	VERB+PRON	robi	robić	12	się	się	13	robi się	robić się	W : Po prostu wracam do starokawalerskich nawyków i w domu nagle robi się absolutny burdel .
1747	ADP+NOUN	z	z	12	końcem	koniec	13	z końcem	z koniec	Czarterujemy też nasze dwa jachty zaprzyjaźnionym klubom i tak jakoś wiążemy koniec z końcem — powiedział komandor klubu „ Gwarek ” Bodo Gorus .
1752	VERB+PRON	spotkał	spotkać	14	się	się	15	spotkał się	spotkać się	Sekretarz Łapa społecznie działa w poradni małżeńskiej , ale z podobnym postępowaniem kobiety nie spotkał się .
1755	VERB+PRON	zastanawiali	zastanawiać	1	się	się	2	zastanawiali się	zastanawiać się	Wszyscy zastanawiali się , czy do kolejnego spotkania w podobnym składzie dojdzie - jak ustalono - rzeczywiście dopiero za rok .
1810	VERB+PRON	zdecydowała	zdecydować	4	się	się	5	zdecydowała się	zdecydować się	Dziś przyznaje , że zdecydowała się w ciemno .
1814	VERB+PRON	uśmiecha	uśmiechać	15	się	się	16	uśmiecha się	uśmiechać się	- Już ci mówiłem mówił em , że Arkan nie będzie z tobą rozmawiał - uśmiecha się do pułkownika .
1822	NOUN+PRON	ukazaniu	ukazać	10	się	się	11	ukazaniu się	ukazać się	"Pleniąca się w warszawce plotka mówi , że nazajutrz po ukazaniu się tego artykułu premier Leszek Miller poda się do dymisji wskutek ukazania się innego artykułu – w "" Rzeczpospolitej "" ."
1823	ADP+NOUN	do	do	19	dymisji	dymisja	20	do dymisji	do dymisja	"Pleniąca się w warszawce plotka mówi , że nazajutrz po ukazaniu się tego artykułu premier Leszek Miller poda się do dymisji wskutek ukazania się innego artykułu – w "" Rzeczpospolitej "" ."
1824	NOUN+PRON	ukazania	ukazać	22	się	się	23	ukazania się	ukazać się	"Pleniąca się w warszawce plotka mówi , że nazajutrz po ukazaniu się tego artykułu premier Leszek Miller poda się do dymisji wskutek ukazania się innego artykułu – w "" Rzeczpospolitej "" ."
1836	VERB+PRON	zastanawiać	zastanawiać	1	się	się	2	zastanawiać się	zastanawiać się	Wolał zastanawiać się nad tym , kto mógł w tym wypadku pomóc , niż podsycać w sobie pragnienie rozbicia komuś głowy .
1856	VERB+PRON	decydując	decydować	8	się	się	9	decydując się	decydować się	Bogusław Kruszewski , dyrektor MDK w Prasznyszu , decydując się na pokazanie bodaj części dorobku Jana Stępkowskiego , Wernisaż , na który przyjechało wielu twórców z Ciechanowa , kolegów Stępkowskiego , zbiegł się i znakomicie korelował z przasnyską „ odsłoną ” IV Światowych Dni Poezji , organizowanych przez Aleksandra Nawrockiego , pochodzącego z okolic Przasnysza poety i wydawcy , redaktora naczelnego literackiego pisma „ Poezja dzisiaj ” .
1872	VERB+ADP	są	być	23	w	w	24	są w	być w	Do fatalnego w skutkach opóźnienia doszło - jak twierdzą sędziowie , z powodu zakorkowania warszawskiego sądu rejonowego tysiącami spraw , których wydziały nie są w stanie rozpatrzeć .
1891	VERB+PRON	ukazał	ukazać	3	się	się	4	ukazał się	ukazać się	"Na początku 1992 ukazał się raport Banku Światowego "" Polska - przekształcenia ekonomiczne na rozdrożu "" , w którym chwalono polską transformację , że "" zrywa z tradycją gwarancji zatrudnienia od kołyski do grobu i sprowadza rządowy system ochronny do roli ostatniej deski ratunku "" ."
1909	VERB+PRON	prezentuje	prezentować	6	się	się	7	prezentuje się	prezentować się	Stwierdziła z zadowoleniem , że całość prezentuje się bardzo wiarygodnie , zwłaszcza w przyćmionym świetle .
1911	VERB+PRON	zastanawiał	zastanawiać	1	się	się	2	zastanawiał się	zastanawiać się	Heinz zastanawiał się , kiedy ostatni raz słyszał podobny entuzjazm w głosie syna .
1952	NOUN+PROPN	akt	akt	6	oskarżenia	oskarżenie	7	akt oskarżenia	akt oskarżenie	We wtorek prokuratura skierowała do sądu akt oskarżenia przeciwko handlarzom .
1972	NOUN+PRON	podzielenia	podzielić	7	się	się	8	podzielenia się	podzielić się	Myślę , że następny krok w kierunku podzielenia się władzą i pieniędzmi jest nie tylko konieczny , ale będzie powszechnie aprobowany .
1979	ADP+NOUN	z	z	14	głowy	głowa	15	z głowy	z głowa	Z pamiętnika Wojtka : Myślałem Myślał em tylko o biegunie i żeby mieć to z głowy .
1981	VERB+PRON	uśmiechała	uśmiechać	3	się	się	4	uśmiechała się	uśmiechać się	Z wypłowiałego zdjęcia uśmiechała się azjatycka , młoda twarz pana Korzeniowskiego , wystrojonego w mundur zapięty pod szyją .
1993	VERB+PRON	da	dać	1	się	się	2	da się	dać się	Nie da się .
2013	ADP+NOUN	w	w	4	stanie	stan	5	w stanie	w stan	Więcej nie jestem już w stanie dokonać .
2020	VERB+PRON	decyduje	decydować	20	się	się	21	decyduje się	decydować się	Czasami jestem szczerze zdumiona , że mimo zmiany ustawy o prowadzeniu samochodu w stanie nietrzeźwym , tak wiele osób nadal decyduje się na to , aby po „ jednym głębszym ” wsiąść za kierownicę .
2040	VERB+PRON	zebrało	zebrać	31	się	się	32	zebrało się	zebrać się	Biedzili się oto nad sprawą , porządkowali zebrany materiał , dedukowali tak i siak , wypisując pytania dodatkowe , na które jeszcze musieli znaleźć odpowiedź , a tu byłej milicjantce najwyraźniej zebrało się na żarty .
2045	ADJ+NOUN	mający	mieć	25	miejsce	miejsce	26	mający miejsce	mieć miejsce	Tak jak nikt nie debatuje w kwestii konieczności odżywiania , czy odpoczynku , tak samo nie ma sensu włączać coś tak zwykłego jak seks ( mający miejsce pomiędzy ludźmi odpowiadającymi za swoje czyny ) w politykę , ani ideologię .
2064	VERB+PRON	chwalić	chwalić	14	się	się	15	chwalić się	chwalić się	Młodzi ludzie , którzy za rok , dwa będą pełnoletni , raczej nie będą chwalić się rodzicom swoimi wyczynami i tym , że notorycznie łamali regulamin .
2065	VERB+ADP	są	być	7	w	w	8	są w	być w	Bo chciały uratować zaskrońca , ale teraz są w kropce .
2090	ADP+NOUN	do	do	18	udziału	udział	19	do udziału	do udział	Japońscy mistrzowie sumo , stanowiący niewątpliwie wizytówkę tego kraju , zostali zaproszeni przez organizatorów zimowych igrzysk w Nagano do udziału w ceremonii otwarcia .
2107	VERB+ADP	będzie	być	24	w	w	25	będzie w	być w	- Nie ma wątpliwości , że dla takiego banku jak Handlowy , skupionego na pewnej grupie klientów , nie jest bez znaczenia , czy będzie w stanie przekształcić się w bank uniwersalny , świadczący usługi zarówno dla przedsiębiorstw , jak i dla ludności .
2115	VERB+PRON	prezentują	prezentować	5	się	się	6	prezentują się	prezentować się	Dogi z hodowli Jadwigi Szłapki prezentują się dobrze nie tylko na wystawowych ringach , ale też . . . w obiektywie kamer .
2122	ADP+NOUN	w	w	5	skład	skład	6	w skład	w skład	Miał też pić miksturę , w skład której wchodził m.in . proszek do prania .
2131	VERB+ADP	był	być	16	w	w	17	był w	być w	Wszyscy jednak wiedzą , że odejście junty było skutkiem kompromisu i że przez to Karamanlis nie był w stanie dokonać katharsis .
2134	ADJ+PRON	mieszczących	mieścić	3	się	się	4	mieszczących się	mieścić się	Jedną z firm mieszczących się obecnie w dawnym Orle Białym jest biuro specjalistów - doradców dla przedsiębiorstw upadających albo będących w trudnościach .
2174	VERB+NOUN	mieć	mieć	1	wątpliwości	wątpliwość	2	mieć wątpliwości	mieć wątpliwość	Można mieć wątpliwości co do tego czy innego paragrafu konkordatu lub sposobu przygotowywania projektu .
2177	VERB+PRON	Daję	dawać	0	sobie	siebie	1	Daję sobie	dawać siebie	Daję sobie radę ze sobą .
2194	ADP+NOUN	na	na	6	rękę	ręka	7	na rękę	na ręka	"Taka postawa wydaje się być bardzo na rękę 19-letniemu "" Panasiowi "" ."
2202	VERB+PRON	oprzeć	oprzeć	13	się	się	14	oprzeć się	oprzeć się	"Otwarcie mówiła : "" Kiedy jakiś mężczyzna mi się podoba , nie potrafię oprzeć się chęci , aby go wypróbować w łóżku ."
2208	ADP+NOUN	Do	do	0	odpowiedzialności	odpowiedzialność	1	Do odpowiedzialności	do odpowiedzialność	Do odpowiedzialności zostanie też prawdopodobnie pociągnięty kierowca , który przewoził wieżę , oraz pracownik punktu skupu .
2216	ADP+NOUN	W	w	0	skład	skład	1	W skład	w skład	W skład leku wchodzą m.in . teophilina , phenobarbital i ephydryna .
2217	VERB+PRON	zastanawiała	zastanawiać	6	się	się	7	zastanawiała się	zastanawiać się	Ja już informowali śmy część radnych zastanawiała się nad możliwością zmiany szyldu , bo AWS praktycznie już nie istnieje .
2245	VERB+PRON	Skarżył	skarżyć	0	się	się	1	Skarżył się	skarżyć się	Skarżył się jej przecież , że w kieracie prozaicznych zajęć , wśród ludzi zajętych tylko sprawami chleba powszedniego , brak mu rozmów na poważne tematy .
2265	VERB+PRON	chciało	chcieć	14	się	się	15	chciało się	chcieć się	Oczywiście nikt wcześniej tego nie zauważył , nawet historycy we Włoszech , którym nie chciało się przekartkować dzieła Masiniego .
2270	ADP+NOUN	na	na	8	stanowisko	stanowisko	9	na stanowisko	na stanowisko	Konspiracyjne powołanie przez Delegaturę Rządu dra Stanisława Totwena na stanowisko burmistrza .
2271	NOUN+NOUN	wyrzuty	wyrzut	2	sumienia	sumienie	3	wyrzuty sumienia	wyrzut sumienie	Miała potem wyrzuty sumienia - przecież nie przychodziła do niego , tylko do Lidki .
2274	VERB+PRON	chwali	chwalić	4	się	się	5	chwali się	chwalić się	Milioner startujący w wyborach chwali się swoim majątkiem i chętnie informuje , jak go zrobił , oczywiście zawsze mówiąc , że zdobył go uczciwą , wytężoną pracą , dzięki swoim zdolnościom , szczęściu i pomocy boskiej .
2275	ADP+NOUN	do	do	17	góry	góra	18	do góry	do góra	Natomiast w Rosji , gdzie inwestorów i inwestycji jest nadal stosunkowo mało , potrafią przewrócić całą giełdę do góry nogami .
2298	ADP+NOUN	w	w	17	stanie	stan	18	w stanie	w stan	UE chce stworzyć do roku 2003 liczące 60 tysięcy żołnierzy siły szybkiego reagowania , które były by w stanie działać bez pełnego zaangażowania NATO .
2309	VERB+PRON	da	dać	3	się	się	4	da się	dać się	Biegu historii nie da się zawrócić kijem i pewne symbole muszą w niesławie odejść , a że z naszej świadomości odchodzą nieraz bardzo wolno , to potwierdza zdjęcie wejścia przy jednym z bloków wspomnianego przed chwilą osiedla , gdzie , jak widać , Nowotko wiecznie żywy .
2311	VERB+PRON	oparła	oprzeć	14	się	się	15	oparła się	oprzeć się	Prasa dziecięca - w odróżnieniu od młodzieżowej i tej dla dorosłych - dość skutecznie oparła się natomiast inwazji zachodnich przedruków .
2315	VERB+PRON	mieści	mieścić	27	się	się	28	mieści się	mieścić się	Dziwił em się tak potem jeszcze tydzień , aż okazało się , iż tkwię w banalnym błędzie , bowiem nie dostrzegł em , że obok baru sałatkowego mieści się i restauracja , czy też może raczej to sałatkarnia jest przy restauracji .
2316	ADP+NOUN	w	w	2	skład	skład	3	w skład	w skład	Wejdą oni w skład SPU , czyli Special Police Unit .
2324	ADJ+PRON	składająca	składać	15	się	się	16	składająca się	składać się	Żonę słynnego piłkarza Manchester United - dla 8 mln dolarów okupu - miała porwać banda składająca się z Albańczyków i Rumunów .
2333	NOUN+VERB	zdanie	zdanie	1	miała	mieć	2	zdanie miała	zdanie mieć	Pozytywne zdanie miała garstka z nich .
2430	VERB+NOUN	miał	mieć	3	miejsce	miejsce	4	miał miejsce	mieć miejsce	Precyzyjnie przygotowany napad miał miejsce we wtorek rano ok . godz . 4 na strzeżonym placu przy ul . Inżynierskiej w Lublinie .
2432	NOUN+VERB	prawo	prawo	1	mają	mieć	2	prawo mają	prawo mieć	Takie prawo mają wyłącznie partie polityczne i komitety wyborcze obywateli .
2442	ADP+NOUN	w	w	10	grę	gra	11	w grę	w gra	W dwóch przypadkach konieczny był przyjazd brygady sieciowej , kiedy w grę wchodził ulatniający się gaz z podziemnych rur .
2445	VERB+PRON	wypowiadali	wypowiadać	1	się	się	2	wypowiadali się	wypowiadać się	Podobnie wypowiadali się przedstawiciele państw Zachodu i Trzeciego Świata .
2451	VERB+PRON	decyduje	decydować	18	się	się	19	decyduje się	decydować się	- Nieraz spotkałem spotkał em się z opiniami , że to trudne wyrzeczenie , ale coraz więcej ludzi decyduje się , by w ten sposób zaakcentować swoje przygotowanie do Wielkanocy - mówi ks . Witold .
2458	ADJ+PRON	składająca	składać	1	się	się	2	składająca się	składać się	"Ekspozycja składająca się z ponad pięćdziesięciu prac , zorganizowana została w Muzeum Stylu Zakopiańskiego im . Stanisława Witkiewicza , w willi "" Koliba "" ."
2459	VERB+PRON	zastanawia	zastanawiać	2	się	się	3	zastanawia się	zastanawiać się	Kościół prawosławny zastanawia się , czy nie przywrócić jego imienia , jako świętego sprzed rozłamu , do grona czczonych obecnie .
2465	ADJ+PRON	składający	składać	1	się	się	2	składający się	składać się	Zespół składający się z siedmiu okrętów sił morskich Niemiec , Wielkiej Brytanii , Belgii , Norwegii i Danii nosi nazwę Mine Countermemeasures Force North Europa .
2485	ADP+NOUN	w	w	6	żyłach	żyła	7	w żyłach	w żyła	Nie obyło się bez mrożących krew w żyłach sytuacji .
2489	VERB+PRON	da	dać	9	się	się	10	da się	dać się	Zdaje on sobie sprawę , że bez reprywatyzacji nie da się przeprowadzić skutecznych reform własnościowych .
2495	VERB+ADP	jest	być	2	w	w	3	jest w	być w	Czy mózg jest w stanie zrozumieć mózg ?
2497	VERB+PRON	spotkali	spotkać	30	się	się	31	spotkali się	spotkać się	Nie były to jakieś szczególnie porywające wykonania , jednak to spotkanie na długo zapamięta zarówno żywo i spontanicznie reagująca publiczność , jak i sami artyści , którzy zapewne nigdy nie spotkali się z tak owacyjnym i nie przystającym do kanonów filharmonii przyjęciem .
2527	VERB+PRON	uśmiecha	uśmiechać	9	się	się	10	uśmiecha się	uśmiechać się	- Znam ich wszystkich z imienia i nazwiska - uśmiecha się Paweł .
2560	VERB+ADP	jest	być	7	w	w	8	jest w	być w	Prezes Polskiej Miedzi twierdzi , że firma jest w stanie obniżać koszty o 4 - 5 proc . rocznie .
2575	ADJ+PRON	ukazującą	ukazywać	4	się	się	5	ukazującą się	ukazywać się	"Goleszów ma swoją gazetę ukazującą się od 1991 - miesięcznik "" Panorama Goleszowska "" ."
2579	VERB+PRON	da	dać	12	się	się	13	da się	dać się	Cierpienie jest zbyt duże , by można sobie było wyobrazić , że da się znieść je bez alkoholu .
2581	NOUN+NOUN	sekcję	sekcja	17	zwłok	zwłoki	18	sekcję zwłok	sekcja zwłoki	Niemiecki profesor Gunther von Hagens przeprowadził w środę w londyńskiej galerii Atlantis pierwszą od 170 lat publiczną sekcję zwłok 72-letniego mężczyzny .
2600	ADP+NOUN	na	na	16	sercu	serce	17	na sercu	na serce	Okazywał miłosierdzie ubogim i słabym , dawał jałmużnę , odwiedzał chorych i więźniów , ciążył mu na sercu handel niewolnikami .
2604	VERB+PRON	Zastanawia	zastanawiać	0	się	się	1	Zastanawia się	zastanawiać się	Zastanawia się tylko , dlaczego leżała pod narkozą aż trzy godziny .
2607	VERB+NOUN	mają	mieć	4	sensu	sens	5	mają sensu	mieć sens	- Takie wyjazdy nie mają sensu .
2680	VERB+NOUN	miało	mieć	2	miejsce	miejsce	3	miało miejsce	mieć miejsce	Zdarzenie to miało miejsce 28 marca około godziny 20 , przy ulicy Śliskiej w Gdyni .
2686	VERB+PRON	Robi	robić	6	się	się	7	Robi się	robić się	Dyrektor Sosnowski z AWRSP : - Robi się tu dużo hałasu , czasem słusznie , ale często na wyrost .
2714	VERB+PRON	ukazał	ukazać	3	się	się	4	ukazał się	ukazać się	"W 1975 roku ukazał się pierwszy album grupy "" Cień wielkiej góry "" , na którym oprócz utworu tytułowego znalazł się między innymi utwór "" Jest taki samotny dom "" ."
2749	VERB+ADP	była	być	22	w	w	23	była w	być w	Sprzęt służący do wczesnego wykrywania raka piersi nie służy nikomu dlatego , że najpierw żadna ze spółek powstałych po prywatyzacji ZOZ nie była w stanie udźwignąć kosztów utrzymania tego aparatu , a potem , gdy władze miasta zdecydowały się przekazać go Świętokrzyskiemu Centrum Onkologii , Zakład Ubezpieczeń Społecznych zajął sprzęt na poczet długów ZOZ .
2750	VERB+PRON	zdecydowały	zdecydować	37	się	się	38	zdecydowały się	zdecydować się	Sprzęt służący do wczesnego wykrywania raka piersi nie służy nikomu dlatego , że najpierw żadna ze spółek powstałych po prywatyzacji ZOZ nie była w stanie udźwignąć kosztów utrzymania tego aparatu , a potem , gdy władze miasta zdecydowały się przekazać go Świętokrzyskiemu Centrum Onkologii , Zakład Ubezpieczeń Społecznych zajął sprzęt na poczet długów ZOZ .
2764	VERB+PRON	trzymać	trzymać	6	się	się	7	trzymać się	trzymać się	Są też Buzkowcy , którzy zamiast trzymać się starych tekstów Urbana mają własne pomysły , pragną mnie przelicytować i wtedy już jest zupełne nieszczęście .
2775	ADP+NOUN	w	w	24	polu	pole	25	w polu	w pole	Dlatego też bez zwracania większej uwagi wypiorą i wysuszą cienkie jak mgiełka majteczki , schnące mniej więcej trzy minuty , a wtedy szukaj wiatru w polu , głupi zazdrośniku .
2776	ADP+NOUN	do	do	2	głowy	głowa	3	do głowy	do głowa	Przyszło mi do głowy , że jeżeli uda mi się na tyle opanować strach , aby na chwilę zatkać uszy i patrzeć tylko na wędrujące owady , zacznę myśleć z jakim takim sensem .
2791	ADJ+PRON	ciągnące	ciągnąć	10	się	się	11	ciągnące się	ciągnąć się	Garb Lubawski to najwyższe wzniesienie między Wisłą i Niemnem , ciągnące się pomiędzy Lubawą i Nidzicą ( Garb Lubawsko - Nidzicki ) .
2792	VERB+ADP	był	być	36	w	w	37	był w	być w	"Na szczęście Urząd Ochrony Konkurencji i Konsumentów od czasu do czasu karci instytucje finansowe za to , że "" zapomniały "" poinformować klienta o szczegółach oferty lub gwiazdka była tak mała , że żaden klient nie był w stanie jej zauważyć ."
2793	VERB+PRON	zdecyduje	zdecydować	13	się	się	14	zdecyduje się	zdecydować się	- O naszym członkostwie w Unii zadecyduje polityka i to , kiedy Piętnastka zdecyduje się otworzyć na Wschód .
2795	VERB+NOUN	miały	mieć	10	miejsce	miejsce	11	miały miejsce	mieć miejsce	Zarząd BOZPN zapoznał się z informacją o wydarzeniach , jakie miały miejsce na stadionie Polonii podczas finałowego meczu o Puchar Polski pomiędzy Polonią i Zawiszą .
2805	VERB+PRON	zna	znać	8	się	się	9	zna się	znać się	- Taki wypedikiurowany niby inteligent , a nie zna się na ustawach !
2823	ADP+NOUN	z	z	10	oczu	oko	11	z oczu	z oko	Linda sprawnie nakrywała do stołu , a Blondyn nie spuszczał z oczu jej wąskich stóp opatulonych w grube skarpety .
2864	VERB+PRON	da	dać	6	się	się	7	da się	dać się	W tych warunkach dokładnych kwot nie da się wyliczyć , ale roczne wydatki polskiej misji sięgają równowartości 200 tysięcy dolarów .
2875	VERB+ADP	jest	być	3	w	w	4	jest w	być w	Czy pan prezes jest w stanie określić , kiedy zarząd telewizji , którego pan był członkiem , debatował na temat kształtu ustawy czy nad nowelizacją tej ustawy ?
2877	ADP+NOUN	na	na	2	celu	cel	3	na celu	na cel	Ma to na celu podniesienie przyrostu naturalnego , a dzięki temu zwiększenie federalnej pomocy finansowej dla miasta .
2881	VERB+PRON	skarży	skarżyć	21	się	się	22	skarży się	skarżyć się	Ja telefon w sieci TP mam od lat , więc nie rozumiem dlaczego bez mojej zgody aktywowano mi tą usługę – skarży się pan Waldemar .
2885	VERB+PRON	zastanawia	zastanawiać	17	się	się	18	zastanawia się	zastanawiać się	- Gdyby śmy odbijali ją na powielaczach i rozprowadzali , to może było by to przestępstwo - zastanawia się .
2912	NOUN+ADJ	rzuty	rzut	4	karne	karny	5	rzuty karne	rzut karny	"Pomysłodawca sugerujący , by rzuty karne wykonywać przed rozpoczęciem gry wychodzi z założenia , że zwycięzcą rywalizacji w meczu zakończonym remisem będzie zespół , który wygrał konkurs "" jedenastek "" ."
2915	VERB+ADP	są	być	18	w	w	19	są w	być w	Niespotykanie obfite opady śniegu sprawiły , że stada , które są głównym źródłem utrzymania ludności wiejskiej , nie są w stanie się wyżywić .
2931	VERB+PRON	ukazuje	ukazywać	34	się	się	35	ukazuje się	ukazywać się	"Kiedy przed kilkoma tygodniami omawiałem omawiał em stan czasopiśmiennictwa poświęconego sprawom muzyki , pisałem pisał em podając sprawozdanie z treści zeszytu "" Kwartalnika muzycznego "" , iż nie wiadomo mi , , czy nadal ukazuje się "" Ruch Muzyczny "" ."
2983	NOUN+PROPN	Akt	akt	0	oskarżenia	oskarżenie	1	Akt oskarżenia	akt oskarżenie	Akt oskarżenia w tej sprawie Prokuratura Okręgowa skierowała do gdańskiego sądu rejonowego .
2984	ADP+NOUN	Z	z	0	propozycją	propozycja	1	Z propozycją	z propozycja	Z propozycją roli mediatora w sprawie Stoczni Szczecińskiej wystąpił Uniwersytet Szczeciński .
2987	VERB+PRON	składa	składać	3	się	się	4	składa się	składać się	Wreszcie trzecia kategoria składa się z decyzji podejmowanych przez samorządowe władze regionalne i lokalne , mające dużą swobodę decydowania zgodnie ze swoimi dyskrecjonalnymi uprawnieniami .
2995	VERB+PRON	zastanawiamy	zastanawiać	16	się	się	17	zastanawiamy się	zastanawiać się	Teraz , kiedy to już nastąpiło , w parę zaledwie minut po radiowym komunikacie , wspólnie zastanawiamy się jak rozładować narosłe w dniach przerw produkcyjnych problemy .
3010	VERB+PRON	prezentowali	prezentować	2	się	się	3	prezentowali się	prezentować się	Piłkarze Świecia prezentowali się dobrze , ale tworzyli zlepek indywidualistów .
3019	VERB+PRON	da	dać	6	się	się	7	da się	dać się	Jestem zwolennikiem poglądu , że jeśli da się utrzymać polski charakter instytucji , to należy zdecydowanie działać w tym kierunku .
3056	VERB+PRON	Da	dać	0	się	się	1	Da się	dać się	Da się w Polsce zarobić na boksie ?
3069	ADP+NOUN	w	w	4	stanie	stan	5	w stanie	w stan	Wiadukt nie był jednak w stanie wytrzymać obciążenia większego niż 30 ton .
3072	VERB+PRON	zna	znać	8	się	się	9	zna się	znać się	A co do Vogtsa , to jednak nie zna się na piłce .
3076	VERB+ADP	będzie	być	19	w	w	20	będzie w	być w	Być może Kwartet ( USA , ONZ , UE i Rosja ) z udziałem sił demokratycznych w społeczeństwie palestyńskim będzie w stanie to w części zrealizować .
3114	ADP+PROPN	Z	z	0	nieba	niebo	1	Z nieba	z niebo	Z nieba leje się żar .
3115	VERB+PRON	leje	lać	2	się	się	3	leje się	lać się	Z nieba leje się żar .
3116	VERB+PRON	zdecydował	zdecydować	10	się	się	11	zdecydował się	zdecydować się	"Z kolei telewizyjne "" Wiadomości "" podały , że Dziurowicz zdecydował się kandydować ."
3117	VERB+PRON	zastanawiając	zastanawiać	50	się	się	51	zastanawiając się	zastanawiać się	Zabawne , że tak mało osób zauważa niesamowity paradoks , który nikogo nie zdumiewa : rządząca partia PiS robi wszystko , aby Sejm nie uchwalił przygotowanego przez jej rząd budżetu , zaś opozycja zbiera siły i jednoczy się , aby na złość rządowi ten rządowy budżet jak najszybciej uchwalić nie zastanawiając się nawet nad jego zawartością .
3135	VERB+PRON	uśmiechając	uśmiechać	3	się	się	4	uśmiechając się	uśmiechać się	Wzruszył ramionami , uśmiechając się mimo woli .
3146	ADP+NOUN	z	z	3	oczu	oko	4	z oczu	z oko	- Zejdźcie mi z oczu - wyszeptał .
3153	ADP+NOUN	z	z	42	ziemią	ziemia	43	z ziemią	z ziemia	Tak powstaje ciągła podróż w kilku wymiarach , jazda w teraźniejszości i przeszłości , po mapach nałożonych na siebie : tego tu nie było ostatnio , tu wybudowali nową stację benzynową , tu urządzili maszt telefonu , a tam zrównali zabytkowy dworek z ziemią .
3171	VERB+PRON	wyróżniał	wyróżniać	1	się	się	2	wyróżniał się	wyróżniać się	Michaelson wyróżniał się z tłumu w siłowni .
3181	ADP+NOUN	w	w	2	roli	rola	3	w roli	w rola	"Na imprezie w roli gwiazdy wystąpi zespół Moloko , prezentujący materiał z wydanej niedawno płyty "" Things to Make and Do "" , a innym gościem zagranicznym będzie Praga Khan ."
3190	VERB+PRON	ukażą	ukazać	21	się	się	22	ukażą się	ukazać się	Od połowy lat 80 . coraz powszechniejsze są w kościołach msze św . odprawiane w języku kaszubskim , a już niebawem ukażą się dwa niezależne tłumaczenia Nowego Testamentu na język kaszubski .
3254	VERB+PRON	zastanawiały	zastanawiać	19	się	się	20	zastanawiały się	zastanawiać się	Rodziny działkowe - 29 tys . w okręgu zielonogórskim i 16 tys . w gorzowskim - przez kilka miesięcy zastanawiały się : grabić grządki , czy to politycy zagrabią im je odgórnie ?
